,rent,location,bedroom,bathroom,toilet,parking
10391,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10392,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10393,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10394,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10395,8500000, Ladipo Bateye Street Ikeja GRA Ikeja Lagos,5.0,5.0,6.0,4.0
10396,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10397,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10398,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10399,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10402,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10403,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10404,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
