,rent,location,bedroom,bathroom,toilet,parking
10117,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10118,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10119,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10120,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10121,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10122,16100000, Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
10123,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10124,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10125,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10126,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10129,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10130,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10131,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10132,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10133,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10134,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10135,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10136,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10137,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10138,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10139,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10140,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10141,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10142,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10144,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10145,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10146,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10147,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10150,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10151,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10152,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10153,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10154,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10155,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10156,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10157,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10158,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10159,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10160,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10161,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10162,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10163,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10164,900000, Bakare Estate Agungi Lekki Lagos,1.0,1.0,1.0,0.0
10165,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10166,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10167,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10168,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10171,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10172,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10173,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10174,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10175,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10176,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10177,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10178,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10179,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10180,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10181,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10182,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10183,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10184,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
